"Administrative Unit Number","School Number","Institution Name","Address","Address Line 2 ","City","State","Zip Code","Zip Code Extension","Latitude","Longitude","WebAddress","Grades","Georeferenced Latitude & Longitude"
"104435603","3170","Musser El Sch","500 Cedar Ave",,"Sharon","PA","16146","2614","41.225927","-80.497204","http://www.sharonsd.org","K5F-6","POINT (-80.497204 41.225927)"
"104103603","1154","Karns City HS","1446 Kittanning Pike",,"Karns City","PA","16041","1818","40.9878312","-79.72647144","http://www.kcasdk12.org","12-Jul","POINT (-79.72647144 40.9878312)"
"220457001","0","Notre Dame Elementary School","60 Spangenburg Avenue",,"East Stroudsburg","PA","18301",,"41.004838","-75.168352","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.168352 41.004838)"
"113362303","7209","Garden Spot MS","669 E Main St # 609",,"New Holland","PA","17557","609","40.11079541","-76.06982623","http://www.elanco.org","8-Jul","POINT (-76.06982623 40.11079541)"
"120481002","3462","Northeast MS","1170 Fernwood St",,"Bethlehem","PA","18018","3016","40.628233","-75.363181","http://www.beth.k12.pa.us","6,7-8","POINT (-75.363181 40.628233)"
"211340005","0","Windy Acres School","25634 PO 755",,"Port Royal","PA","17082",,"40.519634","-77.392055","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-77.392055 40.519634)"
"216190700","0","Columbia County Christian School","123 Schoolhouse Road",,"Bloomsburg","PA","17815",,"41.02194","-76.494321","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.494321 41.02194)"
"115211603","8438","Winding Creek El Sch","34 Bali Hai Rd",,"Mechanicsburg","PA","17050",,"40.269267","-77.012273","http://www.cvschools.org","K5H,1-5","POINT (-77.012273 40.269267)"
"228326255","0","Rose Valley School","537 Hamilton Road",,"Marion Center","PA","15759","0","40.795019","-79.121078","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-79.121078 40.795019)"
"213360066","0","Blackhorse School","130 Blackhorse Road",,"Paradise","PA","17562",,"39.993158","-76.120063","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.120063 39.993158)"
"916550035","284","McClure Community Library","4 Library Lane",,"McClure","PA","17841",,"40.7070798","-77.313439","https://snyder.polarislibrary.com/library/hours.aspx?ctx=5.1033.0.0.2",,"POINT (-77.313439 40.7070798)"
"300468560","0","Wee Care Child Development Ctr","2573 E High St",,"Sanatoga","PA","19464",,"40.24498","-75.588461","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.588461 40.24498)"
"115224003","1747","Conewago El Sch","2809 Hershey Rd",,"Elizabethtown","PA","17022","9079","40.22463848","-76.6204925","http://www.ldsd.org","K5F-5","POINT (-76.6204925 40.22463848)"
"113362203","2539","Donegal HS","1025 Koser Road",,"Mount Joy","PA","17552","9797","40.092399","-76.51904","http://www.donegalsd.org","12-Sep","POINT (-76.51904 40.092399)"
"114060557","6304","Berks CTC-East Campus","3307 Friedensburg Road",,"Oley","PA","19547","8716","40.383643","-75.797602","http://www.berkscareer.com","12-Sep","POINT (-75.797602 40.383643)"
"112286003","6282","Mercersburg El Sch","30 S Park Ave",,"Mercersburg","PA","17236","1116","39.82728154","-77.90691056","http://www.tsdrockets.org","K5F-5","POINT (-77.90691056 39.82728154)"
